OR4F5	NM_001005484
EIF2A	NM_032025
SELT	NM_016275
FAM194A	NM_152394
SIAH2	NM_005067
CLRN1	NM_174878
MED12L	NM_053002
GPR171	NM_013308
P2RY14	NM_014879
GPR87	NM_023915
P2RY13	NM_176894
P2RY12	NM_176876
IGSF10	NM_178822
AADACL2	NM_207365
AADAC	NM_001086
SUCNR1	NM_033050
MBNL1	NM_207293
TMEM14E	NM_001123228
P2RY1	NM_002563
RAP2B	NM_002886
C3orf79	NM_001101337
ARHGEF26	NM_001251962
DHX36	NM_020865
GPR149	NM_001038705
MME	NM_007288
PLCH1	NM_001130960
C3orf33	NM_173657
SLC33A1	NM_004733
GMPS	NM_003875
KCNAB1	NM_172160
SSR3	NM_007107
TIPARP	NM_001184718
LEKR1	NM_001004316
CCNL1	NM_020307
VEPH1	NM_001167912
PTX3	NM_002852
C3orf55	NM_001130002
SHOX2	NM_006884
RSRC1	NM_016625
MLF1	NM_022443
GFM1	NM_024996
LXN	NM_020169
RARRES1	NM_206963
MFSD1	NM_022736
IQCJ-SCHIP1	NM_001197113
IL12A	NM_000882
C3orf80	NM_001168214
IFT80	NM_020800
SMC4	NM_001002800
TRIM59	NM_173084
KPNA4	NM_002268
ARL14	NM_025047
PPM1L	NM_139245
B3GALNT1	NM_033169
NMD3	NM_015938
SPTSSB	NM_001040100
OTOL1	NM_001080440
SI	NM_001041
SLITRK3	NM_014926
BCHE	NM_000055
ZBBX	NM_001199201
SERPINI2	NM_006217
WDR49	NM_178824
PDCD10	NM_145860
SERPINI1	NM_001122752
GOLIM4	NM_014498
MECOM	NM_004991
MYNN	NM_001185119
LRRC34	NM_001172779
LRRIQ4	NM_001080460
LRRC31	NM_024727
SAMD7	NM_182610
SEC62	NM_003262
GPR160	NM_014373
PHC3	NM_024947
PRKCI	NM_002740
SKIL	NM_001248008
CLDN11	NM_005602
SLC7A14	NM_020949
RPL22L1	NM_001099645
EIF5A2	NM_020390
SLC2A2	NM_000340
TNIK	NM_015028
PLD1	NM_002662
TMEM212	NM_001164436
FNDC3B	NM_022763
GHSR	NM_198407
TNFSF10	NM_003810
NCEH1	NM_001146276
ECT2	NM_018098
SPATA16	NM_031955
NLGN1	NM_014932
NAALADL2	NM_207015
TBL1XR1	NM_024665
KCNMB2	NM_181361
ZMAT3	NM_022470
PIK3CA	NM_006218
KCNMB3	NM_171828
ZNF639	NM_016331
MFN1	NM_033540
GNB4	NM_021629
ACTL6A	NM_004301
MRPL47	NM_020409
NDUFB5	NM_002492
USP13	NM_003940
PEX5L	NM_016559
TTC14	NM_133462
CCDC39	NM_181426
FXR1	NM_005087
DNAJC19	NM_145261
SOX2	NM_003106
ATP11B	NM_014616
DCUN1D1	NM_020640
MCCC1	NM_020166
LAMP3	NM_014398
MCF2L2	NM_015078
B3GNT5	NM_032047
KLHL6	NM_130446
KLHL24	NM_017644
YEATS2	NM_018023
MAP6D1	NM_024871
PARL	NM_018622
ABCC5	NM_005688
HTR3D	NM_001163646
HTR3C	NM_130770
HTR3E	NM_182589
EIF2B5	NM_003907
DVL3	NM_004423
AP2M1	NM_001025205
ABCF3	NM_018358
VWA5B2	NM_138345
ALG3	NM_005787
ECE2	NM_014693
CAMK2N2	NM_033259
PSMD2	NM_002808
EIF4G1	NM_001194947
FAM131A	NM_144635
CLCN2	NM_004366
POLR2H	NM_006232
THPO	NM_000460
CHRD	NM_003741
EPHB3	NM_004443
MAGEF1	NM_022149
VPS8	NM_015303
C3orf70	NM_001025266
EHHADH	NM_001966
MAP3K13	NM_004721
TMEM41A	NM_080652
LIPH	NM_139248
SENP2	NM_021627
IGF2BP2	NM_006548
TRA2B	NM_004593
ETV5	NM_004454
DGKG	NM_001346
CRYGS	NM_017541
TBCCD1	NM_018138
DNAJB11	NM_016306
AHSG	NM_001622
FETUB	NM_014375
HRG	NM_000412
KNG1	NM_001102416
EIF4A2	NM_001967
RFC4	NM_002916
ADIPOQ	NM_004797
ST6GAL1	NM_003032
RPL39L	NM_052969
RTP1	NM_153708
MASP1	NM_139125
RTP4	NM_022147
SST	NM_001048
RTP2	NM_001004312
BCL6	NM_001706
LPP	NM_005578
TPRG1	NM_198485
TP63	NM_003722
LEPREL1	NM_018192
CLDN1	NM_021101
CLDN16	NM_006580
TMEM207	NM_207316
IL1RAP	NM_001167931
GMNC	NM_001146686
OSTN	NM_198184
UTS2D	NM_198152
CCDC50	NM_178335
PYDC2	NM_001083308
FGF12	NM_021032
MB21D2	NM_178496
HRASLS	NM_020386
ATP13A5	NM_198505
ATP13A4	NM_032279
OPA1	NM_130837
HES1	NM_005524
CPN2	NM_001080513
LRRC15	NM_130830
GP5	NM_004488
ATP13A3	NM_024524
TMEM44	NM_001166305
LSG1	NM_018385
FAM43A	NM_153690
XXYLT1	NM_152531
ACAP2	NM_012287
PPP1R2	NM_006241
APOD	NM_001647
MUC20	NM_152673
MUC4	NM_018406
TNK2	NM_001010938
TFRC	NM_001128148
ZDHHC19	NM_001039617
PCYT1A	NM_005017
TCTEX1D2	NM_152773
TM4SF19	NM_001204897
UBXN7	NM_015562
RNF168	NM_152617
C3orf43	NM_001077657
WDR53	NM_182627
FBXO45	NM_001105573
LRRC33	NM_198565
CEP19	NM_032898
PIGX	NM_001166304
PAK2	NM_002577
SENP5	NM_152699
NCBP2	NM_007362
PIGZ	NM_025163
MFI2	NM_005929
DLG1	NM_004087
BDH1	NM_004051
KIAA0226	NM_014687
FYTTD1	NM_032288
LRCH3	NM_032773
IQCG	NM_001134435
RPL35A	NM_000996
LMLN	NM_001136049
FAM157A	NM_001145248
ZNF718	NM_001039127
ZNF732	NM_001137608
ZNF141	NM_003441
ZNF721	NM_133474
PIGG	NM_001127178
PDE6B	NM_000283
ATP5I	NM_007100
MYL5	NM_002477
MFSD7	NM_032219
PCGF3	NM_006315
CPLX1	NM_006651
GAK	NM_005255
TMEM175	NM_032326
DGKQ	NM_001347
IDUA	NM_000203
SLC26A1	NM_022042
FGFRL1	NM_001004358
RNF212	NM_001131034
SPON2	NM_012445
CTBP1	NM_001328
MAEA	NM_001017405
CRIPAK	NM_175918
FAM53A	NM_001174070
SLBP	NM_006527
TMEM129	NM_001127266
TACC3	NM_006342
FGFR3	NM_000142
LETM1	NM_012318
WHSC1	NM_001042424
WHSC2	NM_005663
C4orf48	NM_001168243
NAT8L	NM_178557
POLN	NM_181808
HAUS3	NM_024511
MXD4	NM_006454
ZFYVE28	NM_020972
LOC402160	NM_001193282
RNF4	NM_002938
FAM193A	NM_003704
TNIP2	NM_024309
SH3BP2	NM_001145856
ADD1	NM_014189
MFSD10	NM_001146069
NOP14	NM_003703
GRK4	NM_182982
HTT	NM_002111
RGS12	NM_198229
HGFAC	NM_001528
DOK7	NM_173660
LRPAP1	NM_002337
ADRA2C	NM_000683
OTOP1	NM_177998
TMEM128	NM_032927
LYAR	NM_017816
ZBTB49	NM_145291
STX18	NM_016930
MSX1	NM_002448
CYTL1	NM_018659
STK32B	NM_018401
C4orf6	NM_005750
EVC2	NM_147127
EVC	NM_153717
CRMP1	NM_001014809
JAKMIP1	NM_001099433
WFS1	NM_006005
PPP2R2C	NM_001206995
MAN2B2	NM_015274
MRFAP1	NM_033296
S100P	NM_005980
MRFAP1L1	NM_203462
KIAA0232	NM_001100590
TBC1D14	NM_020773
CCDC96	NM_153376
TADA2B	NM_152293
GRPEL1	NM_025196
SORCS2	NM_020777
PSAPL1	NM_001085382
AFAP1	NM_001134647
ABLIM2	NM_001130083
SH3TC1	NM_018986
HTRA3	NM_053044
ACOX3	NM_003501
GPR78	NM_080819
CPZ	NM_001014447
HMX1	NM_018942
LOC650293	NM_001040071
DEFB131	NM_001040448
DRD5	NM_000798
SLC2A9	NM_020041
WDR1	NM_017491
ZNF518B	NM_053042
CLNK	NM_052964
HS3ST1	NM_005114
RAB28	NM_001017979
NKX3-2	NM_001189
CPEB2	NM_001177382
C1QTNF7	NM_031911
CC2D2A	NM_001080522
FBXL5	NM_012161
FAM200B	NM_001145191
BST1	NM_004334
CD38	NM_001775
FGFBP1	NM_005130
FGFBP2	NM_031950
PROM1	NM_006017
TAPT1	NM_153365
LDB2	NM_001290
QDPR	NM_000320
CLRN2	NM_001079827
LAP3	NM_015907
MED28	NM_025205
FAM184B	NM_015688
DCAF16	NM_017741
NCAPG	NM_022346
LCORL	NM_001166139
SLIT2	NM_004787
PACRGL	NM_145048
KCNIP4	NM_001035003
GPR125	NM_145290
GBA3	NM_020973
PPARGC1A	NM_013261
DHX15	NM_001358
SOD3	NM_003102
CCDC149	NM_001130726
LGI2	NM_018176
SEPSECS	NM_016955
PI4K2B	NM_018323
ZCCHC4	NM_024936
ANAPC4	NM_013367
SLC34A2	NM_006424
SEL1L3	NM_015187
C4orf52	NM_001145432
RBPJ	NM_015874
CCKAR	NM_000730
TBC1D19	NM_018317
STIM2	NM_001169118
PCDH7	NM_001173523
ARAP2	NM_015230
DTHD1	NM_001170700
KIAA1239	NM_001144990
C4orf19	NM_001104629
RELL1	NM_001085399
PGM2	NM_018290
TBC1D1	NM_015173
PTTG2	NM_006607
KLF3	NM_016531
TLR10	NM_001017388
TLR1	NM_003263
TLR6	NM_006068
FAM114A1	NM_138389
TMEM156	NM_024943
KLHL5	NM_001007075
WDR19	NM_025132
RFC1	NM_001204747
KLB	NM_175737
RPL9	NM_001024921
LIAS	NM_006859
UGDH	NM_003359
C4orf34	NM_174921
UBE2K	NM_005339
PDS5A	NM_001100399
N4BP2	NM_018177
RHOH	NM_004310
CHRNA9	NM_017581
RBM47	NM_001098634
NSUN7	NM_024677
APBB2	NM_004307
UCHL1	NM_004181
LIMCH1	NM_014988
PHOX2B	NM_003924
TMEM33	NM_018126
DCAF4L1	NM_001029955
SLC30A9	NM_006345
BEND4	NM_207406
SHISA3	NM_001080505
ATP8A1	NM_006095
GRXCR1	NM_001080476
KCTD8	NM_198353
YIPF7	NM_182592
GUF1	NM_021927
GNPDA2	NM_138335
GABRG1	NM_173536
GABRA2	NM_000807
COX7B2	NM_130902
GABRA4	NM_001204266
GABRB1	NM_000812
COMMD8	NM_017845
ATP10D	NM_020453
CORIN	NM_006587
NFXL1	NM_152995
CNGA1	NM_001142564
NIPAL1	NM_207330
TXK	NM_003328
TEC	NM_003215
SLAIN2	NM_020846
SLC10A4	NM_152679
ZAR1	NM_175619
FRYL	NM_015030
OCIAD1	NM_001168254
OCIAD2	NM_001014446
CWH43	NM_025087
DCUN1D4	NM_001040402
LRRC66	NM_001024611
SGCB	NM_000232
SPATA18	NM_145263
USP46	NM_022832
ERVMER34-1	NM_001242690
RASL11B	NM_023940
SCFD2	NM_152540
FIP1L1	NM_001134937
LNX1	NM_001126328
CHIC2	NM_012110
GSX2	NM_133267
PDGFRA	NM_006206
KIT	NM_000222
KDR	NM_002253
SRD5A3	NM_024592
TMEM165	NM_018475
CLOCK	NM_004898
PDCL2	NM_152401
NMU	NM_006681
EXOC1	NM_001024924
CEP135	NM_025009
KIAA1211	NM_020722
AASDH	NM_181806
PPAT	NM_002703
PAICS	NM_001079525
SRP72	NM_006947
ARL9	NM_206919
HOPX	NM_139211
SPINK2	NM_021114
REST	NM_001193508
NOA1	NM_032313
POLR2B	NM_000938
IGFBP7	NM_001553
LPHN3	NM_015236
TECRL	NM_001010874
EPHA5	NM_004439
CENPC1	NM_001812
STAP1	NM_012108
UBA6	NM_018227
GNRHR	NM_000406
TMPRSS11D	NM_004262
TMPRSS11A	NM_182606
TMPRSS11F	NM_207407
TMPRSS11BNL	NM_001129907
TMPRSS11B	NM_182502
YTHDC1	NM_001031732
TMPRSS11E	NM_014058
UGT2B17	NM_001077
UGT2B15	NM_001076
UGT2B10	NM_001075
UGT2A3	NM_024743
UGT2B7	NM_001074
UGT2B11	NM_001073
UGT2B28	NM_053039
UGT2B4	NM_021139
UGT2A1	NM_001252274
SULT1B1	NM_014465
SULT1E1	NM_005420
CSN1S1	NM_001890
CSN2	NM_001891
STATH	NM_003154
HTN3	NM_000200
HTN1	NM_002159
C4orf40	NM_214711
ODAM	NM_017855
FDCSP	NM_152997
CSN3	NM_005212
CABS1	NM_033122
SMR3A	NM_012390
PROL1	NM_021225
MUC7	NM_152291
AMTN	NM_212557
AMBN	NM_016519
ENAM	NM_031889
IGJ	NM_144646
UTP3	NM_020368
RUFY3	NM_001037442
GRSF1	NM_002092
MOB1B	NM_173468
DCK	NM_000788
SLC4A4	NM_001134742
GC	NM_001204307
NPFFR2	NM_004885
ADAMTS3	NM_014243
COX18	NM_173827
ANKRD17	NM_032217
ALB	NM_000477
AFP	NM_001134
AFM	NM_001133
RASSF6	NM_201431
IL8	NM_000584
CXCL6	NM_002993
PF4V1	NM_002620
CXCL1	NM_001511
PF4	NM_002619
PPBP	NM_002704
CXCL5	NM_002994
CXCL3	NM_002090
CXCL2	NM_002089
MTHFD2L	NM_001144978
EREG	NM_001432
AREG	NM_001657
BTC	NM_001729
PARM1	NM_015393
RCHY1	NM_015436
THAP6	NM_144721
C4orf26	NM_001206981
CDKL2	NM_003948
G3BP2	NM_203505
USO1	NM_003715
PPEF2	NM_006239
NAAA	NM_014435
SDAD1	NM_018115
CXCL9	NM_002416
CXCL10	NM_001565
CXCL11	NM_005409
ART3	NM_001130016
NUP54	NM_017426
SCARB2	NM_005506
FAM47E	NM_001136570
STBD1	NM_003943
CCDC158	NM_001042784
SHROOM3	NM_020859
SOWAHB	NM_001029870
SEPT11	NM_018243
CCNI	NM_006835
CCNG2	NM_004354
CXCL13	NM_006419
CNOT6L	NM_144571
MRPL1	NM_020236
FRAS1	NM_025074
ANXA3	NM_005139
BMP2K	NM_198892
PAQR3	NM_001040202
NAA11	NM_032693
GK2	NM_033214
ANTXR2	NM_001145794
PRDM8	NM_001099403
FGF5	NM_004464
C4orf22	NM_001206997
BMP3	NM_001201
PRKG2	NM_006259
RASGEF1B	NM_152545
HNRNPD	NM_031370
HNRPDL	NM_031372
ENOPH1	NM_021204
TMEM150C	NM_001080506
SCD5	NM_001037582
SEC31A	NM_014933
THAP9	NM_024672
LIN54	NM_194282
COPS4	NM_016129
PLAC8	NM_001130716
COQ2	NM_015697
HPSE	NM_001098540
HELQ	NM_133636
MRPS18C	NM_016067
FAM175A	NM_139076
AGPAT9	NM_032717
NKX6-1	NM_006168
CDS1	NM_001263
WDFY3	NM_014991
ARHGAP24	NM_001025616
MAPK10	NM_002753
PTPN13	NM_080685
SLC10A6	NM_197965
C4orf36	NM_144645
AFF1	NM_001166693
KLHL8	NM_020803
HSD17B13	NM_178135
HSD17B11	NM_016245
NUDT9	NM_024047
SPARCL1	NM_004684
DSPP	NM_014208
DMP1	NM_001079911
IBSP	NM_004967
MEPE	NM_020203
SPP1	NM_001040058
PKD2	NM_000297
ABCG2	NM_004827
PPM1K	NM_152542
HERC6	NM_017912
HERC5	NM_016323
PIGY	NM_001042616
HERC3	NM_014606
NAP1L5	NM_153757
FAM13A	NM_014883
TIGD2	NM_145715
GPRIN3	NM_198281
SNCA	NM_000345
MMRN1	NM_007351
FAM190A	NM_001145065
GRID2	NM_001510
ATOH1	NM_005172
SMARCAD1	NM_001128430
HPGDS	NM_014485
PDLIM5	NM_006457
BMPR1B	NM_001203
UNC5C	NM_003728
PDHA2	NM_005390
RAP1GDS1	NM_001100426
TSPAN5	NM_005723
EIF4E	NM_001130678
METAP1	NM_015143
ADH5	NM_000671
ADH4	NM_000670
ADH6	NM_001102470
ADH1A	NM_000667
ADH1B	NM_000668
ADH1C	NM_000669
ADH7	NM_001166504
C4orf17	NM_032149
MTTP	NM_000253
DAPP1	NM_014395
LAMTOR3	NM_021970
DNAJB14	NM_001031723
H2AFZ	NM_002106
DDIT4L	NM_145244
EMCN	NM_016242
PPP3CA	NM_000944
BANK1	NM_017935
SLC39A8	NM_001135146
NFKB1	NM_003998
MANBA	NM_005908
UBE2D3	NM_181891
CISD2	NM_001008388
SLC9B1	NM_139173
SLC9B2	NM_178833
BDH2	NM_020139
CENPE	NM_001813
TACR3	NM_001059
CXXC4	NM_025212
TET2	NM_001127208
PPA2	NM_176869
ARHGEF38	NM_001242729
INTS12	NM_001142471
GSTCD	NM_001031720
NPNT	NM_001184691
TBCK	NM_001163435
AIMP1	NM_001142416
DKK2	NM_014421
PAPSS1	NM_005443
SGMS2	NM_001136258
CYP2U1	NM_183075
HADH	NM_005327
LEF1	NM_016269
RPL34	NM_000995
OSTC	NM_021227
AGXT2L1	NM_031279
COL25A1	NM_198721
SEC24B	NM_006323
CCDC109B	NM_017918
CASP6	NM_001226
PLA2G12A	NM_030821
CFI	NM_000204
GAR1	NM_032993
RRH	NM_006583
LRIT3	NM_198506
EGF	NM_001963
ELOVL6	NM_001130721
ENPEP	NM_001977
PITX2	NM_001204398
C4orf32	NM_152400
AP1AR	NM_018569
TIFA	NM_052864
ALPK1	NM_001102406
NEUROG2	NM_024019
C4orf21	NM_018392
LARP7	NM_015454
ANK2	NM_001148
CAMK2D	NM_001221
ARSJ	NM_024590
UGT8	NM_001128174
NDST4	NM_022569
TRAM1L1	NM_152402
NDST3	NM_004784
PRSS12	NM_003619
METTL14	NM_020961
SEC24D	NM_014822
SYNPO2	NM_133477
MYOZ2	NM_016599
USP53	NM_019050
C4orf3	NM_001170330
FABP2	NM_000134
PDE5A	NM_001083
MAD2L1	NM_002358
PRDM5	NM_018699
NDNF	NM_024574
TNIP3	NM_001244764
QRFPR	NM_198179
ANXA5	NM_001154
TMEM155	NM_152399
EXOSC9	NM_001034194
CCNA2	NM_001237
BBS7	NM_176824
TRPC3	NM_001130698
KIAA1109	NM_015312
ADAD1	NM_001159285
IL2	NM_000586
IL21	NM_021803
BBS12	NM_152618
FGF2	NM_002006
NUDT6	NM_007083
SPATA5	NM_145207
SPRY1	NM_199327
ANKRD50	NM_020337
FAT4	NM_024582
INTU	NM_015693
SLC25A31	NM_031291
HSPA4L	NM_014278
PLK4	NM_014264
MFSD8	NM_152778
C4orf29	NM_001039717
LARP1B	NM_018078
PGRMC2	NM_006320
PHF17	NM_199320
SCLT1	NM_144643
C4orf33	NM_001099783
PCDH10	NM_032961
PABPC4L	NM_001114734
PCDH18	NM_019035
SLC7A11	NM_014331
CCRN4L	NM_012118
ELF2	NM_201999
NDUFC1	NM_001184990
NAA15	NM_057175
RAB33B	NM_031296
SETD7	NM_030648
MGST2	NM_002413
MAML3	NM_018717
SCOC	NM_001153446
CLGN	NM_004362
ELMOD2	NM_153702
UCP1	NM_021833
TBC1D9	NM_015130
RNF150	NM_020724
ZNF330	NM_014487
IL15	NM_000585
INPP4B	NM_001101669
USP38	NM_032557
GAB1	NM_207123
SMARCA5	NM_003601
FREM3	NM_001168235
GYPE	NM_198682
GYPA	NM_002099
HHIP	NM_022475
ANAPC10	NM_014885
ABCE1	NM_002940
OTUD4	NM_001102653
SMAD1	NM_005900
MMAA	NM_172250
C4orf51	NM_001080531
ZNF827	NM_178835
LSM6	NM_007080
SLC10A7	NM_001029998
POU4F2	NM_004575
TTC29	NM_031956
EDNRA	NM_001957
TMEM184C	NM_018241
PRMT10	NM_138364
ARHGAP10	NM_024605
NR3C2	NM_000901
DCLK2	NM_001040261
LRBA	NM_001199282
MAB21L2	NM_006439
RPS3A	NM_001006
SH3D19	NM_001009555
PRSS48	NM_183375
FAM160A1	NM_001109977
PET112	NM_004564
FBXW7	NM_033632
TMEM154	NM_152680
TIGD4	NM_145720
ARFIP1	NM_001025595
FHDC1	NM_033393
TRIM2	NM_015271
MND1	NM_032117
KIAA0922	NM_001131007
TLR2	NM_003264
RNF175	NM_173662
SFRP2	NM_003013
DCHS2	NM_017639
PLRG1	NM_002669
FGB	NM_005141
FGA	NM_000508
FGG	NM_021870
LRAT	NM_004744
RBM46	NM_144979
NPY2R	NM_000910
MAP9	NM_001039580
GUCY1A3	NM_001130682
GUCY1B3	NM_000857
TDO2	NM_005651
CTSO	NM_001334
PDGFC	NM_016205
GLRB	NM_000824
GRIA2	NM_000826
FAM198B	NM_001128424
TMEM144	NM_018342
RXFP1	NM_021634
C4orf46	NM_001008393
ETFDH	NM_004453
PPID	NM_005038
FNIP2	NM_020840
C4orf45	NM_152543
RAPGEF2	NM_014247
FSTL5	NM_020116
NAF1	NM_138386
NPY1R	NM_000909
NPY5R	NM_006174
TKTL2	NM_032136
MARCH1	NM_001166373
ANP32C	NM_012403
TRIM61	NM_001012414
TRIM60	NM_152620
TMEM192	NM_001100389
KLHL2	NM_001161521
MSMO1	NM_006745
CPE	NM_001873
TLL1	NM_012464
SPOCK3	NM_016950
ANXA10	NM_007193
DDX60	NM_017631
DDX60L	NM_001012967
PALLD	NM_001166108
CBR4	NM_032783
SH3RF1	NM_020870
NEK1	NM_001199397
CLCN3	NM_173872
C4orf27	NM_017867
MFAP3L	NM_021647
AADAT	NM_016228
GALNTL6	NM_001034845
GALNT7	NM_017423
HMGB2	NM_001130689
SAP30	NM_003864
SCRG1	NM_007281
HAND2	NM_021973
FBXO8	NM_012180
CEP44	NM_001145314
HPGD	NM_000860
GLRA3	NM_006529
ADAM29	NM_001130705
GPM6A	NM_005277
WDR17	NM_170710
SPATA4	NM_144644
ASB5	NM_080874
SPCS3	NM_021928
VEGFC	NM_005429
NEIL3	NM_018248
AGA	NM_000027
DCTD	NM_001012732
WWC2	NM_024949
CLDN22	NM_001111319
CLDN24	NM_001185149
CDKN2AIP	NM_017632
ING2	NM_001564
RWDD4	NM_152682
TRAPPC11	NM_021942
STOX2	NM_020225
ENPP6	NM_153343
IRF2	NM_002199
CASP3	NM_032991
CCDC111	NM_152683
MLF1IP	NM_024629
ACSL1	NM_001995
HELT	NM_001029887
SLC25A4	NM_001151
KIAA1430	NM_020827
SNX25	NM_031953
LRP2BP	NM_018409
ANKRD37	NM_181726
UFSP2	NM_018359
C4orf47	NM_001114357
CCDC110	NM_152775
PDLIM3	NM_014476
SORBS2	NM_021069
TLR3	NM_003265
FAM149A	NM_001006655
CYP4V2	NM_207352
KLKB1	NM_000892
F11	NM_000128
MTNR1A	NM_005958
FAT1	NM_005245
ZFP42	NM_174900
TRIML2	NM_173553
TRIML1	NM_178556
FRG1	NM_004477
LOC100288255	NM_001199232
DUX2	NM_012147
DUX4L3	NM_001164467
DUX4L4	NM_001177376
PLEKHG4B	NM_052909
LRRC14B	NM_001080478
CCDC127	NM_145265
SDHA	NM_004168
PDCD6	NM_013232
AHRR	NM_001242412
C5orf55	NM_138464
EXOC3	NM_007277
SLC9A3	NM_004174
CEP72	NM_018140
TPPP	NM_007030
ZDHHC11	NM_024786
BRD9	NM_023924
TRIP13	NM_004237
LOC100506688	NM_001242737
NKD2	NM_033120
SLC12A7	NM_006598
SLC6A19	NM_001003841
SLC6A18	NM_182632
TERT	NM_198253
CLPTM1L	NM_030782
SLC6A3	NM_001044
LPCAT1	NM_024830
MRPL36	NM_032479
NDUFS6	NM_004553
IRX4	NM_016358
IRX2	NM_033267
C5orf38	NM_178569
IRX1	NM_024337
ADAMTS16	NM_139056
KIAA0947	NM_015325
MED10	NM_032286
UBE2QL1	NM_001145161
NSUN2	NM_017755
SRD5A1	NM_001047
PAPD7	NM_006999
ADCY2	NM_020546
C5orf49	NM_001089584
FASTKD3	NM_024091
MTRR	NM_024010
SEMA5A	NM_003966
TAS2R1	NM_019599
FAM173B	NM_199133
CCT5	NM_012073
CMBL	NM_138809
MARCH6	NM_005885
ROPN1L	NM_001201466
ANKRD33B	NM_001164440
DAP	NM_004394
CTNND2	NM_001332
DNAH5	NM_001369
TRIO	NM_007118
FAM105A	NM_019018
FAM105B	NM_138348
ANKH	NM_054027
FBXL7	NM_012304
MARCH11	NM_001102562
ZNF622	NM_033414
FAM134B	NM_001034850
MYO10	NM_012334
BASP1	NM_006317
CDH18	NM_004934
CDH12	NM_004061
PRDM9	NM_020227
CDH10	NM_006727
CDH9	NM_016279
CDH6	NM_004932
DROSHA	NM_013235
C5orf22	NM_018356
PDZD2	NM_178140
GOLPH3	NM_022130
MTMR12	NM_001040446
ZFR	NM_016107
SUB1	NM_006713
NPR3	NM_001204375
TARS	NM_152295
ADAMTS12	NM_030955
RXFP3	NM_016568
SLC45A2	NM_016180
AMACR	NM_001167595
C1QTNF3	NM_181435
RAI14	NM_001145520
TTC23L	NM_144725
RAD1	NM_002853
BRIX1	NM_018321
DNAJC21	NM_001012339
AGXT2	NM_031900
PRLR	NM_000949
SPEF2	NM_024867
IL7R	NM_002185
CAPSL	NM_144647
UGT3A1	NM_152404
UGT3A2	NM_174914
LMBRD2	NM_001007527
SKP2	NM_005983
NADKD1	NM_001085411
RANBP3L	NM_001161429
SLC1A3	NM_004172
NIPBL	NM_133433
C5orf42	NM_023073
NUP155	NM_153485
WDR70	NM_018034
GDNF	NM_001190468
EGFLAM	NM_001205301
LIFR	NM_002310
OSMR	NM_003999
RICTOR	NM_152756
FYB	NM_001243093
C9	NM_001737
DAB2	NM_001343
PTGER4	NM_000958
TTC33	NM_012382
PRKAA1	NM_006251
RPL37	NM_000997
CARD6	NM_032587
C7	NM_000587
HEATR7B2	NM_173489
C6	NM_000065
PLCXD3	NM_001005473
OXCT1	NM_000436
C5orf51	NM_175921
FBXO4	NM_012176
GHR	NM_000163
CCDC152	NM_001134848
SEPP1	NM_001085486
ZNF131	NM_003432
NIM1	NM_153361
HMGCS1	NM_002130
CCL28	NM_148672
C5orf28	NM_022483
C5orf34	NM_198566
PAIP1	NM_006451
NNT	NM_182977
FGF10	NM_004465
MRPS30	NM_016640
HCN1	NM_021072
EMB	NM_198449
PARP8	NM_024615
ISL1	NM_002202
PELO	NM_015946
ITGA1	NM_181501
ITGA2	NM_002203
MOCS2	NM_176806
FST	NM_013409
NDUFS4	NM_002495
ARL15	NM_019087
HSPB3	NM_006308
SNX18	NM_001102575
ESM1	NM_007036
GZMK	NM_002104
GZMA	NM_006144
CDC20B	NM_001170402
GPX8	NM_001008397
CCNO	NM_021147
DHX29	NM_019030
SKIV2L2	NM_015360
PPAP2A	NM_176895
SLC38A9	NM_173514
DDX4	NM_024415
IL31RA	NM_139017
IL6ST	NM_002184
ANKRD55	NM_024669
MAP3K1	NM_005921
MIER3	NM_152622
GPBP1	NM_001127236
ACTBL2	NM_001017992
PLK2	NM_006622
GAPT	NM_152687
RAB3C	NM_138453
PDE4D	NM_001104631
DEPDC1B	NM_018369
ELOVL7	NM_001104558
ERCC8	NM_000082
NDUFAF2	NM_174889
C5orf43	NM_001048249
ZSWIM6	NM_020928
C5orf64	NM_173667
KIF2A	NM_001098511
DIMT1	NM_014473
IPO11	NM_001134779
LRRC70	NM_181506
HTR1A	NM_000524
RNF180	NM_001113561
RGS7BP	NM_001029875
FAM159B	NM_001164442
SREK1IP1	NM_173829
CWC27	NM_005869
ADAMTS6	NM_197941
CENPK	NM_022145
PPWD1	NM_015342
TRIM23	NM_001656
C5orf44	NM_001093755
SGTB	NM_019072
NLN	NM_020726
ERBB2IP	NM_001253699
SREK1	NM_001077199
MAST4	NM_001164664
CD180	NM_005582
PIK3R1	NM_181523
SLC30A5	NM_022902
CCNB1	NM_031966
CENPH	NM_022909
MRPS36	NM_033281
CDK7	NM_001799
CCDC125	NM_176816
TAF9	NM_003187
RAD17	NM_133339
MARVELD2	NM_001038603
OCLN	NM_001205255
GTF2H2C	NM_001098728
SERF1B	NM_022978
SMN2	NM_017411
NAIP	NM_004536
GTF2H2	NM_001515
BDP1	NM_018429
MCCC2	NM_022132
CARTPT	NM_004291
MAP1B	NM_005909
MRPS27	NM_015084
PTCD2	NM_024754
ZNF366	NM_152625
TNPO1	NM_153188
FCHO2	NM_138782
TMEM171	NM_173490
TMEM174	NM_153217
FOXD1	NM_004472
BTF3	NM_001037637
ANKRA2	NM_023039
UTP15	NM_032175
ENC1	NM_003633
HEXB	NM_000521
GFM2	NM_032380
NSA2	NM_014886
